region_code,alias,normalized_alias,priority
4182000000,가평,가평,50
4182000000,가평군,가평군,20
1168000000,강남,강남,50
1168000000,강남구,강남구,20
1174000000,강동,강동,50
1174000000,강동구,강동구,20
5115000000,강릉,강릉,50
5115000000,강릉시,강릉시,20
1130500000,강북,강북,50
1130500000,강북구,강북구,20
1150000000,강서,강서,50
2644000000,강서,강서,50
1150000000,강서구,강서구,20
2644000000,강서구,강서구,20
5100000000,강원,강원,30
5115000000,강원 강릉,강원강릉,45
5115000000,강원 강릉시,강원강릉시,15
5182000000,강원 고성,강원고성,45
5182000000,강원 고성군,강원고성군,15
5100000000,강원도,강원도,30
5115000000,강원도 강릉,강원도강릉,45
5115000000,강원도 강릉시,강원도강릉시,15
5182000000,강원도 고성,강원도고성,45
5182000000,강원도 고성군,강원도고성군,15
5117000000,강원도 동해,강원도동해,45
5117000000,강원도 동해시,강원도동해시,15
5123000000,강원도 삼척,강원도삼척,45
5123000000,강원도 삼척시,강원도삼척시,15
5121000000,강원도 속초,강원도속초,45
5121000000,강원도 속초시,강원도속초시,15
5180000000,강원도 양구,강원도양구,45
5180000000,강원도 양구군,강원도양구군,15
5183000000,강원도 양양,강원도양양,45
5183000000,강원도 양양군,강원도양양군,15
5175000000,강원도 영월,강원도영월,45
5175000000,강원도 영월군,강원도영월군,15
5113000000,강원도 원주,강원도원주,45
5113000000,강원도 원주시,강원도원주시,15
5181000000,강원도 인제,강원도인제,45
5181000000,강원도 인제군,강원도인제군,15
5177000000,강원도 정선,강원도정선,45
5177000000,강원도 정선군,강원도정선군,15
5178000000,강원도 철원,강원도철원,45
5178000000,강원도 철원군,강원도철원군,15
5111000000,강원도 춘천,강원도춘천,45
5111000000,강원도 춘천시,강원도춘천시,15
5119000000,강원도 태백,강원도태백,45
5119000000,강원도 태백시,강원도태백시,15
5176000000,강원도 평창,강원도평창,45
5176000000,강원도 평창군,강원도평창군,15
5172000000,강원도 홍천,강원도홍천,45
5172000000,강원도 홍천군,강원도홍천군,15
5179000000,강원도 화천,강원도화천,45
5179000000,강원도 화천군,강원도화천군,15
5173000000,강원도 횡성,강원도횡성,45
5173000000,강원도 횡성군,강원도횡성군,15
5117000000,강원 동해,강원동해,45
5117000000,강원 동해시,강원동해시,15
5123000000,강원 삼척,강원삼척,45
5123000000,강원 삼척시,강원삼척시,15
5121000000,강원 속초,강원속초,45
5121000000,강원 속초시,강원속초시,15
5180000000,강원 양구,강원양구,45
5180000000,강원 양구군,강원양구군,15
5183000000,강원 양양,강원양양,45
5183000000,강원 양양군,강원양양군,15
5175000000,강원 영월,강원영월,45
5175000000,강원 영월군,강원영월군,15
5113000000,강원 원주,강원원주,45
5113000000,강원 원주시,강원원주시,15
5181000000,강원 인제,강원인제,45
5181000000,강원 인제군,강원인제군,15
5177000000,강원 정선,강원정선,45
5177000000,강원 정선군,강원정선군,15
5178000000,강원 철원,강원철원,45
5178000000,강원 철원군,강원철원군,15
5111000000,강원 춘천,강원춘천,45
5111000000,강원 춘천시,강원춘천시,15
5119000000,강원 태백,강원태백,45
5119000000,강원 태백시,강원태백시,15
5100000000,강원특별자치도,강원특별자치도,10
5115000000,강원특별자치도 강릉시,강원특별자치도강릉시,10
5182000000,강원특별자치도 고성군,강원특별자치도고성군,10
5117000000,강원특별자치도 동해시,강원특별자치도동해시,10
5123000000,강원특별자치도 삼척시,강원특별자치도삼척시,10
5121000000,강원특별자치도 속초시,강원특별자치도속초시,10
5180000000,강원특별자치도 양구군,강원특별자치도양구군,10
5183000000,강원특별자치도 양양군,강원특별자치도양양군,10
5175000000,강원특별자치도 영월군,강원특별자치도영월군,10
5113000000,강원특별자치도 원주시,강원특별자치도원주시,10
5181000000,강원특별자치도 인제군,강원특별자치도인제군,10
5177000000,강원특별자치도 정선군,강원특별자치도정선군,10
5178000000,강원특별자치도 철원군,강원특별자치도철원군,10
5111000000,강원특별자치도 춘천시,강원특별자치도춘천시,10
5119000000,강원특별자치도 태백시,강원특별자치도태백시,10
5176000000,강원특별자치도 평창군,강원특별자치도평창군,10
5172000000,강원특별자치도 홍천군,강원특별자치도홍천군,10
5179000000,강원특별자치도 화천군,강원특별자치도화천군,10
5173000000,강원특별자치도 횡성군,강원특별자치도횡성군,10
5176000000,강원 평창,강원평창,45
5176000000,강원 평창군,강원평창군,15
5172000000,강원 홍천,강원홍천,45
5172000000,강원 홍천군,강원홍천군,15
5179000000,강원 화천,강원화천,45
5179000000,강원 화천군,강원화천군,15
5173000000,강원 횡성,강원횡성,45
5173000000,강원 횡성군,강원횡성군,15
1278000000,강진,강진,50
1278000000,강진군,강진군,20
2871000000,강화,강화,50
2871000000,강화군,강화군,20
4831000000,거제,거제,50
4831000000,거제시,거제시,20
4888000000,거창,거창,50
4888000000,거창군,거창군,20
2829000000,검단,검단,50
2829000000,검단구,검단구,20
4100000000,경기,경기,30
4182000000,경기 가평,경기가평,45
4182000000,경기 가평군,경기가평군,15
4128000000,경기 고양,경기고양,45
4128000000,경기 고양시,경기고양시,15
4129000000,경기 과천,경기과천,45
4129000000,경기 과천시,경기과천시,15
4121000000,경기 광명,경기광명,45
4121000000,경기 광명시,경기광명시,15
4161000000,경기 광주,경기광주,45
4161000000,경기 광주시,경기광주시,15
4131000000,경기 구리,경기구리,45
4131000000,경기 구리시,경기구리시,15
4141000000,경기 군포,경기군포,45
4141000000,경기 군포시,경기군포시,15
4157000000,경기 김포,경기김포,45
4157000000,경기 김포시,경기김포시,15
4136000000,경기 남양주,경기남양주,45
4136000000,경기 남양주시,경기남양주시,15
4100000000,경기도,경기도,10
4182000000,경기도 가평군,경기도가평군,10
4128000000,경기도 고양시,경기도고양시,10
4129000000,경기도 과천시,경기도과천시,10
4121000000,경기도 광명시,경기도광명시,10
4161000000,경기도 광주시,경기도광주시,10
4131000000,경기도 구리시,경기도구리시,10
4141000000,경기도 군포시,경기도군포시,10
4157000000,경기도 김포시,경기도김포시,10
4136000000,경기도 남양주시,경기도남양주시,10
4125000000,경기도 동두천시,경기도동두천시,10
4119000000,경기도 부천시,경기도부천시,10
4113000000,경기도 성남시,경기도성남시,10
4111000000,경기도 수원시,경기도수원시,10
4139000000,경기도 시흥시,경기도시흥시,10
4127000000,경기도 안산시,경기도안산시,10
4155000000,경기도 안성시,경기도안성시,10
4117000000,경기도 안양시,경기도안양시,10
4163000000,경기도 양주시,경기도양주시,10
4183000000,경기도 양평군,경기도양평군,10
4167000000,경기도 여주시,경기도여주시,10
4180000000,경기도 연천군,경기도연천군,10
4137000000,경기도 오산시,경기도오산시,10
4146000000,경기도 용인시,경기도용인시,10
4143000000,경기도 의왕시,경기도의왕시,10
4115000000,경기도 의정부시,경기도의정부시,10
4150000000,경기도 이천시,경기도이천시,10
4148000000,경기도 파주시,경기도파주시,10
4122000000,경기도 평택시,경기도평택시,10
4165000000,경기도 포천시,경기도포천시,10
4145000000,경기도 하남시,경기도하남시,10
4159000000,경기도 화성시,경기도화성시,10
4125000000,경기 동두천,경기동두천,45
4125000000,경기 동두천시,경기동두천시,15
4119000000,경기 부천,경기부천,45
4119000000,경기 부천시,경기부천시,15
4113000000,경기 성남,경기성남,45
4113000000,경기 성남시,경기성남시,15
4111000000,경기 수원,경기수원,45
4111000000,경기 수원시,경기수원시,15
4139000000,경기 시흥,경기시흥,45
4139000000,경기 시흥시,경기시흥시,15
4127000000,경기 안산,경기안산,45
4127000000,경기 안산시,경기안산시,15
4155000000,경기 안성,경기안성,45
4155000000,경기 안성시,경기안성시,15
4117000000,경기 안양,경기안양,45
4117000000,경기 안양시,경기안양시,15
4163000000,경기 양주,경기양주,45
4163000000,경기 양주시,경기양주시,15
4183000000,경기 양평,경기양평,45
4183000000,경기 양평군,경기양평군,15
4167000000,경기 여주,경기여주,45
4167000000,경기 여주시,경기여주시,15
4180000000,경기 연천,경기연천,45
4180000000,경기 연천군,경기연천군,15
4137000000,경기 오산,경기오산,45
4137000000,경기 오산시,경기오산시,15
4146000000,경기 용인,경기용인,45
4146000000,경기 용인시,경기용인시,15
4143000000,경기 의왕,경기의왕,45
4143000000,경기 의왕시,경기의왕시,15
4115000000,경기 의정부,경기의정부,45
4115000000,경기 의정부시,경기의정부시,15
4150000000,경기 이천,경기이천,45
4150000000,경기 이천시,경기이천시,15
4148000000,경기 파주,경기파주,45
4148000000,경기 파주시,경기파주시,15
4122000000,경기 평택,경기평택,45
4122000000,경기 평택시,경기평택시,15
4165000000,경기 포천,경기포천,45
4165000000,경기 포천시,경기포천시,15
4145000000,경기 하남,경기하남,45
4145000000,경기 하남시,경기하남시,15
4159000000,경기 화성,경기화성,45
4159000000,경기 화성시,경기화성시,15
4800000000,경남,경남,30
4831000000,경남 거제,경남거제,45
4831000000,경남 거제시,경남거제시,15
4888000000,경남 거창,경남거창,45
4888000000,경남 거창군,경남거창군,15
4882000000,경남 고성,경남고성,45
4882000000,경남 고성군,경남고성군,15
4825000000,경남 김해,경남김해,45
4825000000,경남 김해시,경남김해시,15
4884000000,경남 남해,경남남해,45
4884000000,경남 남해군,경남남해군,15
4827000000,경남 밀양,경남밀양,45
4827000000,경남 밀양시,경남밀양시,15
4824000000,경남 사천,경남사천,45
4824000000,경남 사천시,경남사천시,15
4886000000,경남 산청,경남산청,45
4886000000,경남 산청군,경남산청군,15
4833000000,경남 양산,경남양산,45
4833000000,경남 양산시,경남양산시,15
4872000000,경남 의령,경남의령,45
4872000000,경남 의령군,경남의령군,15
4817000000,경남 진주,경남진주,45
4817000000,경남 진주시,경남진주시,15
4874000000,경남 창녕,경남창녕,45
4874000000,경남 창녕군,경남창녕군,15
4812000000,경남 창원,경남창원,45
4812000000,경남 창원시,경남창원시,15
4822000000,경남 통영,경남통영,45
4822000000,경남 통영시,경남통영시,15
4885000000,경남 하동,경남하동,45
4885000000,경남 하동군,경남하동군,15
4873000000,경남 함안,경남함안,45
4873000000,경남 함안군,경남함안군,15
4887000000,경남 함양,경남함양,45
4887000000,경남 함양군,경남함양군,15
4889000000,경남 합천,경남합천,45
4889000000,경남 합천군,경남합천군,15
4700000000,경북,경북,30
4729000000,경북 경산,경북경산,45
4729000000,경북 경산시,경북경산시,15
4713000000,경북 경주,경북경주,45
4713000000,경북 경주시,경북경주시,15
4783000000,경북 고령,경북고령,45
4783000000,경북 고령군,경북고령군,15
4719000000,경북 구미,경북구미,45
4719000000,경북 구미시,경북구미시,15
4715000000,경북 김천,경북김천,45
4715000000,경북 김천시,경북김천시,15
4728000000,경북 문경,경북문경,45
4728000000,경북 문경시,경북문경시,15
4792000000,경북 봉화,경북봉화,45
4792000000,경북 봉화군,경북봉화군,15
4725000000,경북 상주,경북상주,45
4725000000,경북 상주시,경북상주시,15
4784000000,경북 성주,경북성주,45
4784000000,경북 성주군,경북성주군,15
4717000000,경북 안동,경북안동,45
4717000000,경북 안동시,경북안동시,15
4777000000,경북 영덕,경북영덕,45
4777000000,경북 영덕군,경북영덕군,15
4776000000,경북 영양,경북영양,45
4776000000,경북 영양군,경북영양군,15
4721000000,경북 영주,경북영주,45
4721000000,경북 영주시,경북영주시,15
4723000000,경북 영천,경북영천,45
4723000000,경북 영천시,경북영천시,15
4790000000,경북 예천,경북예천,45
4790000000,경북 예천군,경북예천군,15
4794000000,경북 울릉,경북울릉,45
4794000000,경북 울릉군,경북울릉군,15
4793000000,경북 울진,경북울진,45
4793000000,경북 울진군,경북울진군,15
4773000000,경북 의성,경북의성,45
4773000000,경북 의성군,경북의성군,15
4782000000,경북 청도,경북청도,45
4782000000,경북 청도군,경북청도군,15
4775000000,경북 청송,경북청송,45
4775000000,경북 청송군,경북청송군,15
4785000000,경북 칠곡,경북칠곡,45
4785000000,경북 칠곡군,경북칠곡군,15
4711000000,경북 포항,경북포항,45
4711000000,경북 포항시,경북포항시,15
4729000000,경산,경산,50
4729000000,경산시,경산시,20
4800000000,경상남도,경상남도,10
4831000000,경상남도 거제시,경상남도거제시,10
4888000000,경상남도 거창군,경상남도거창군,10
4882000000,경상남도 고성군,경상남도고성군,10
4825000000,경상남도 김해시,경상남도김해시,10
4884000000,경상남도 남해군,경상남도남해군,10
4827000000,경상남도 밀양시,경상남도밀양시,10
4824000000,경상남도 사천시,경상남도사천시,10
4886000000,경상남도 산청군,경상남도산청군,10
4833000000,경상남도 양산시,경상남도양산시,10
4872000000,경상남도 의령군,경상남도의령군,10
4817000000,경상남도 진주시,경상남도진주시,10
4874000000,경상남도 창녕군,경상남도창녕군,10
4812000000,경상남도 창원시,경상남도창원시,10
4822000000,경상남도 통영시,경상남도통영시,10
4885000000,경상남도 하동군,경상남도하동군,10
4873000000,경상남도 함안군,경상남도함안군,10
4887000000,경상남도 함양군,경상남도함양군,10
4889000000,경상남도 합천군,경상남도합천군,10
4700000000,경상북도,경상북도,10
4729000000,경상북도 경산시,경상북도경산시,10
4713000000,경상북도 경주시,경상북도경주시,10
4783000000,경상북도 고령군,경상북도고령군,10
4719000000,경상북도 구미시,경상북도구미시,10
4715000000,경상북도 김천시,경상북도김천시,10
4728000000,경상북도 문경시,경상북도문경시,10
4792000000,경상북도 봉화군,경상북도봉화군,10
4725000000,경상북도 상주시,경상북도상주시,10
4784000000,경상북도 성주군,경상북도성주군,10
4717000000,경상북도 안동시,경상북도안동시,10
4777000000,경상북도 영덕군,경상북도영덕군,10
4776000000,경상북도 영양군,경상북도영양군,10
4721000000,경상북도 영주시,경상북도영주시,10
4723000000,경상북도 영천시,경상북도영천시,10
4790000000,경상북도 예천군,경상북도예천군,10
4794000000,경상북도 울릉군,경상북도울릉군,10
4793000000,경상북도 울진군,경상북도울진군,10
4773000000,경상북도 의성군,경상북도의성군,10
4782000000,경상북도 청도군,경상북도청도군,10
4775000000,경상북도 청송군,경상북도청송군,10
4785000000,경상북도 칠곡군,경상북도칠곡군,10
4711000000,경상북도 포항시,경상북도포항시,10
4713000000,경주,경주,50
4713000000,경주시,경주시,20
4425000000,계룡,계룡,50
4425000000,계룡시,계룡시,20
2824500000,계양,계양,50
2824500000,계양구,계양구,20
4783000000,고령,고령,50
4783000000,고령군,고령군,20
4882000000,고성,고성,50
5182000000,고성,고성,50
4882000000,고성군,고성군,20
5182000000,고성군,고성군,20
4128000000,고양,고양,50
